stim_id,stim_type,restr_men,restr_max,spill_region,restr_men_type,restr_max_type,comp_left,comp_right,comp_correct,comp_type,Context,CHUNK1,CHUNK2,CHUNK3,CHUNK4,comp_q,RestrictorType
1,exp,in Spain,in the brochure,so I booked straightaway.,country,brochure,brochure,app,f,RESOURCE,I was flicking through a holiday brochure to find beautiful beaches to visit in Spain and other countries.,Every,beach,in Spain,"looked beautiful,",What type of resource was I using to do my research?,MEN
2,exp,in London,on the website,so I booked straightaway.,city,website,lovely,quirky,j,ADJ,I was on a website trying to find quirky hostels to stay at in London and other cities.,Every,hostel,"seemed quirky,",NA,What kind of hostel was I hoping to stay at?,NIL
3,exp,in Italy,in the vlog,so I booked straightaway.,country,vlog,Italy,China,f,PLACE,I was watching a vlog for inspiration for fancy restaurants to try out in Italy and other countries.,Every,restaurant,in the vlog,"looked fancy,",What was one of the countries that I was considering going to?,MAX
4,exp,in Newcastle,on the app,so I booked straightaway.,city,app,website,app,j,RESOURCE,I was on a travel app researching nice parks to enjoy in Newcastle and other cities.,Every,park,in Newcastle,"seemed nice,",What kind of information source was I using for my research?,MEN
5,exp,in Scotland,in the blog,so I booked straightaway.,country,blog,exciting,sprawling,f,ADJ,I was reading a blog to get some ideas for exciting markets to explore in Scotland and other countries.,Every,market,"looked exciting,",NA,What type of market did I want to explore?,NIL
6,exp,in Edinburgh,in the brochure,so I booked straightaway.,city,brochure,Utrecht,Edinburgh,j,PLACE,I was flicking through a holiday brochure to find interesting monuments to visit in Edinburgh and other cities.,Every,monument,in the brochure,"seemed interesting,",What was one of the cities that I was considering visiting?,MAX
7,exp,in Portugal,on the website,so there was plenty of choice.,country,website,website,blog,f,RESOURCE,I was on a website trying to find cool museums to visit in Portugal and other countries.,Every,museum,in Portugal,"looked cool,",What sort of material was I using for my research?,MEN
8,exp,in Rome,in the vlog,so there was plenty of choice.,city,vlog,high-end,luxurious,j,ADJ,I was watching a vlog for inspiration for luxurious hotels to try out in Rome and other cities.,Every,hotel,"seemed luxurious,",NA,What sort of hotel was I hoping to try out?,NIL
9,exp,in Japan,on the app,so there was plenty of choice.,country,app,Japan,Russia,f,PLACE,I was on a travel app researching breathtaking views to enjoy in Japan and other countries.,Every,view,on the app,"looked breathtaking,",What was one of the countries that I was thinking about travelling to?,MAX
10,exp,in Gloucester,in the blog,so there was plenty of choice.,city,blog,vlog,blog,j,RESOURCE,I was reading a blog to get some ideas for lovely canals to explore in Gloucester and other cities.,Every,canal,in Gloucester,"seemed lovely,",What type of resource was I consulting for my research?,MEN
11,exp,in Slovenia,in the brochure,so there was plenty of choice.,country,brochure,quaint,scenic,f,ADJ,I was flicking through a holiday brochure to find quaint vilages to visit in Slovenia and other countries.,Every,village,"looked quaint,",NA,What kind of village did I want to visit?,NIL
12,exp,in Cardiff,on the website,so there was plenty of choice.,city,website,Delhi,Cardiff,j,PLACE,I was on a website trying to find cheap B&Bs to stay at in Cardiff and other cities.,Every,B&B,on the website,"seemed cheap,",What was one of the cities that I was thinking about going to?,MAX
13,exp,in Germany,in the vlog,so I had some deciding to do.,country,vlog,vlog,brochure,f,RESOURCE,I was watching a vlog for inspiration for picturesque campsites to try out in Germany and other countries.,Every,campsite,in Germany,"looked picturesque,",What kind of information source was I consulting to do my research?,MEN
14,exp,in Budapest,on the app,so I had some deciding to do.,city,app,impressive,relaxing,j,ADJ,I was on a travel app researching relaxing tours to enjoy in Budapest and other cities.,Every,tour,"seemed relaxing,",NA,What type of tour was I hoping to enjoy?,NIL
15,exp,in Peru,in the blog,so I had some deciding to do.,country,blog,Peru,Sweden,f,PLACE,I was reading a blog to get some ideas for pretty towns to explore in Peru and other countries.,Every,town,in the blog,"looked pretty,",What was one of the countries that I was considering visiting?,MAX
