Participant,Age,AgeOfMachine,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,Browser,CompAcc,RestrictorType,MENRestr,MAXRestr,MENRestrType,MAXRestrType,Context,ContextRT,SubNP,RestrPP,LOOK_SEEM,CompRT,has_comp
29,31,2,1,31,exp,457.3,302.3,367.09999999999997,NA,150.9,Every,bridge,"looked amazing,",NA,so I booked straightaway.,Chrome,1,NIL,in Argentina,in the brochure,country,brochure,I was flicking through a holiday brochure to find amazing bridges to visit in Argentina and other countries.,3175.1,bridge,NIL,looked,1458,1
29,31,2,2,98,fill,523.7,315.8,296.20000000000005,339.8,854.5,I was staying near,the oldest,university,"in The Netherlands,",so I made some nice memories.,Chrome,1,FILL,in The Netherlands,in Utrecht,city,country,"I've just returned from a lovely two-week stay in Utrecht. I was really shocked. Apparently,",2677.8,the oldest,NA,NA,1050.3,1
29,31,2,3,37,exp,443.3,235.8,223.1,NA,520.9,Every,villa,"looked stunning,",NA,so there was plenty of choice.,Chrome,1,NIL,in Egypt,on the website,country,website,I was on a website trying to find stunning villas to stay at in Egypt and other countries.,2028,villa,NIL,looked,822.9,1
29,31,2,4,42,exp,439.90000000000003,367.3,223.5,314.5,550.8,Every,barge,in Krakow,"seemed spacious,",so there was plenty of choice.,Chrome,1,MEN,in Krakow,on the website,city,website,I was on a website trying to find spacious barges to stay at in Krakow and other cities.,2066.3999999999996,barge,in Krakow,seemed,888.9,1
29,31,2,5,29,exp,495.3,194.8,274.2,282.9,534.5,Every,shop,on the app,"looked trendy,",so I didn't know what to do.,Chrome,1,MAX,in Hungary,on the app,country,app,I was on a travel app researching trendy shops to enjoy in Hungary and other countries.,2691.5,shop,on the app,looked,1119.6,1
29,31,2,6,99,fill,386.90000000000003,566.6999999999999,434.09999999999997,303.20000000000005,467.1,I got to look around,the most well-established,museum,"in Scotland,",so I really enjoyed it.,Chrome,1,FILL,in Scotland,in Dundee,city,country,"I got home yesterday from a great holiday in Dundee. You won't believe it! According to locals,",3132.6,the most well-established,NA,NA,1344,1
29,31,2,7,84,fill,316,256.6,211.79999999999998,366.3,364.70000000000005,I stayed at,the cleanest,hostel,"in Marrakesh,",so I'm glad I went.,Chrome,1,FILL,in Marrakesh,in Morrocco,country,city,"I got home yesterday from a great holiday in Morrocco. You won't believe it! According to my friends,",1833.7,the cleanest,NA,NA,1153.2,1
29,31,2,8,62,fill,180.9,245.29999999999998,284.1,295.59999999999997,499.90000000000003,I experienced,the hottest,day on record,"in Bordeaux,",so it was a lovely time.,Chrome,1,FILL,in Bordeaux,in France,country,city,"I've just returned from a week-long trip in France. I was really shocked. Apparently,",1966.6,the hottest,NA,NA,1016.2,1
29,31,2,9,27,exp,600.4000000000001,244.79999999999998,332.7,282.6,517,Every,cabin,in Poland,"looked peaceful,",so I didn't know what to do.,Chrome,1,MEN,in Poland,on the website,country,website,I was on a website trying to find peaceful cabins to stay at in Poland and other countries.,2753.4,cabin,in Poland,looked,750.6,1
29,31,2,10,95,fill,265.7,283.6,257,277.4,506.4,I went to,the very first,pub,"in England,",so I made some nice memories.,Chrome,1,FILL,in England,in Lancaster,city,country,"I've just returned from a short vacation in Lancaster. I was really shocked. According to locals,",1850.6,the very first,NA,NA,1165.2,1
29,31,2,11,23,exp,490.9,317.59999999999997,350.2,426.20000000000005,483.59999999999997,Every,cruise,in the vlog,"looked idyllic,",so I knew just where to go.,Chrome,1,MAX,in Finland,in the vlog,country,vlog,I was watching a vlog for inspiration for idyllic cruises to try out in Finland and other countries.,3027.6,cruise,in the vlog,looked,796.6,1
29,31,2,12,41,exp,350.1,197.6,172.2,196.70000000000002,566.5,Every,waterfall,in the brochure,"looked gorgeous,",so there was plenty of choice.,Chrome,1,MAX,in Slovakia,in the brochure,country,brochure,I was flicking through a holiday brochure to find gorgeous waterfalls to visit in Slovakia and other countries.,2146.3,waterfall,in the brochure,looked,1502.5,1
29,31,2,13,12,exp,267.5,208.7,251.4,189.9,227.6,Every,B&B,in Cardiff,"seemed cheap,",so there was plenty of choice.,Chrome,1,MEN,in Cardiff,on the website,city,website,I was on a website trying to find cheap B&Bs to stay at in Cardiff and other cities.,2248.5,B&B,in Cardiff,seemed,2084.7000000000003,1
29,31,2,14,114,fill,245.4,200.7,217.4,233.7,233.7,I bought food from,the oldest,market,"in Morocco,",so I made some nice memories.,Chrome,1,FILL,in Morocco,in Rabat,city,country,"I got home yesterday from a great holiday in Rabat. You won't believe it! Apparently,",2016.7000000000003,the oldest,NA,NA,1156.8,1
29,31,2,15,30,exp,258,157.70000000000002,167.7,158.29999999999998,157.79999999999998,Every,square,in Florence,"seemed busy,",so I didn't know what to do.,Chrome,1,MEN,in Florence,in the blog,city,blog,I was reading a blog to get some ideas for busy squares to explore in Florence and other cities.,2841.8,square,in Florence,seemed,1673.1000000000001,1
29,31,2,16,26,exp,316.90000000000003,162.5,217.4,172.4,600.5,Every,bar,in the brochure,"seemed lively,",so I didn't know what to do.,Chrome,1,MAX,in Prague,in the brochure,city,brochure,I was flicking through a holiday brochure to find lively bars to visit in Prague and other cities.,1883.1,bar,in the brochure,seemed,1857.3999999999999,1
29,31,2,17,112,fill,250.2,217.20000000000002,182.4,162.3,438.40000000000003,I ate,the best,sushi,"in Japan,",so I really enjoyed it.,Chrome,1,FILL,in Japan,in Kyoto,city,country,"I'm just back from a week-long trip in Kyoto. I'm really pleased! According to my friends,",2001,the best,NA,NA,1297.6000000000001,1
29,31,2,18,36,exp,189.6,250.7,200.2,146.3,154.9,Every,place,in Los Angeles,"seemed awesome,",so I booked straightaway.,Chrome,1,MEN,in Los Angeles,in the brochure,city,brochure,I was flicking through a holiday brochure to find awesome places to visit in Los Angeles and other cities.,1499.6000000000001,place,in Los Angeles,seemed,2652.8999999999996,1
29,31,2,19,18,exp,167.2,152.2,200.1,146.1,138.5,Every,café,in Glasgow,"seemed cute,",so I had some deciding to do.,Chrome,1,MEN,in Glasgow,in the vlog,city,vlog,I was watching a vlog for inspiration for cute cafés to try out in Glasgow and other cities.,1601,café,in Glasgow,seemed,1850,1
29,31,2,20,59,exp,445.6,166.1,166.9,183.4,575.0999999999999,Every,trek,on the app,"looked challenging,",so I didn't know what to do.,Chrome,0,MAX,in Indonesia,on the app,country,app,I was on a travel app researching challenging treks to enjoy in Indonesia and other countries.,3000.1000000000004,trek,on the app,looked,4576,1
29,31,2,21,39,exp,483.9,158.9,159.39999999999998,149.4,567.5,Every,lake,in Australia,"looked pristine,",so there was plenty of choice.,Chrome,1,MEN,in Australia,on the app,country,app,I was on a travel app researching pristine lakes to enjoy in Australia and other countries.,2363.6,lake,in Australia,looked,1978.6,1
29,31,2,22,6,exp,184.29999999999998,167.7,160.1,142.1,436.2,Every,monument,in Edinburgh,"seemed interesting,",so I booked straightaway.,Chrome,1,MEN,in Edinburgh,in the brochure,city,brochure,I was flicking through a holiday brochure to find interesting monuments to visit in Edinburgh and other cities.,1851.6999999999998,monument,in Edinburgh,seemed,1407.2,1
29,31,2,23,52,exp,166.9,166.9,164,NA,147,Every,lodge,"seemed inexpensive,",NA,so I knew just where to go.,Chrome,1,NIL,in Bangkok,on the website,city,website,I was on a website trying to find inexpensive lodges to stay at in Bangkok and other cities.,1883.2,lodge,NIL,seemed,2168,1
29,31,2,24,70,fill,183,253.8,250.2,349.4,483.8,I ate at,the poshest,restaurant,"in Helsinki,",so I really enjoyed it.,Chrome,1,FILL,in Helsinki,in Finland,country,city,"I'm just back from a short vacation in Finland. I'm really pleased! Apparently,",1851.3999999999999,the poshest,NA,NA,2083,1
29,31,2,25,69,fill,190.4,539.3,399.8,370.7,566.1,I was able to take photos of,the rarest,bird,"in Aberdeen,",so I made some nice memories.,Chrome,1,FILL,in Aberdeen,in Scotland,country,city,"I got home yesterday from a great holiday in Scotland. You won't believe it! Allegedly,",1917.8999999999999,the rarest,NA,NA,2210.4,1
29,31,2,26,40,exp,383.6,183.5,157.70000000000002,NA,217.1,Every,garden,"seemed colourful,",NA,so there was plenty of choice.,Chrome,1,NIL,in Zagreb,in the blog,city,blog,I was reading a blog to get some ideas for colourful gardens to explore in Zagreb and other cities.,2616.8,garden,NIL,seemed,5534.6,1
29,31,2,27,66,fill,362.59999999999997,172.3,166.4,482.8,472.5,I got to see,the greenest,park,"in Brussels,",so I made some nice memories.,Chrome,1,FILL,in Brussels,in Belgium,country,city,"I got home yesterday from a well-earned break in Belgium. You won't believe it! Apparently,",2099.7,the greenest,NA,NA,1844.4,1
29,31,2,28,82,fill,717.6,269.7,275.2,296.70000000000005,723.5,I swam in,the largest,swimming pool,"in Tokyo,",so I made some nice memories.,Chrome,1,FILL,in Tokyo,in Japan,country,city,"I'm just back from a week-long trip in Japan. I'm really pleased! Apparently,",1882,the largest,NA,NA,1676.8000000000002,1
29,31,2,29,19,exp,674.9000000000001,417.6,266.79999999999995,NA,451.7,Every,hike,"looked scenic,",NA,so I knew just where to go.,Chrome,1,NIL,in China,on the app,country,app,I was on a travel app researching scenic hikes to enjoy in China and other countries.,9549.8,hike,NIL,looked,1799.8,1
29,31,2,30,73,fill,413.2,275.8,338.1,400.2,456.4,I got to experience,the heaviest,snow to ever fall,"in Moscow,",so I really enjoyed it.,Chrome,1,FILL,in Moscow,in Russia,country,city,"I'm just back from a lovely two-week stay in Russia. I'm really pleased! Allegedly,",4235,the heaviest,NA,NA,1915.5,1
29,31,2,31,77,fill,439.40000000000003,435.09999999999997,441.3,448.90000000000003,535,I sunbathed,the longest,beach,"in Mumbai,",so I'm glad I went.,Chrome,1,FILL,in Mumbai,in India,country,city,"I've just returned from a week-long trip in India. I was really shocked. Allegedly,",2421.6000000000004,the longest,NA,NA,1416.8,1
29,31,2,32,2,exp,250.1,250.6,167.3,127.6,545.6,Every,hostel,on the website,"seemed quirky,",so I booked straightaway.,Chrome,1,MAX,in London,on the website,city,website,I was on a website trying to find quirky hostels to stay at in London and other cities.,3182.5,hostel,on the website,seemed,1715,1
29,31,2,33,20,exp,251.8,166.6,148.9,140.5,116.1,Every,church,in the blog,"seemed ornate,",so I knew just where to go.,Chrome,1,MAX,in Belfast,in the blog,city,blog,I was reading a blog to get some ideas for ornate churches to explore in Belfast and other cities.,2798.2,church,in the blog,seemed,1734,1
29,31,2,34,57,exp,319.7,166.5,113,156.6,649.3,Every,farm,in Greece,"looked eco-friendly,",so I didn't know what to do.,Chrome,1,MEN,in Greece,on the website,country,website,I was on a website trying to find eco-friendly farms to stay at in Greece and other countries.,1873.6999999999998,farm,in Greece,looked,1670.8,1
29,31,2,35,32,exp,379,307.09999999999997,183.9,430.20000000000005,347.6,Every,apartment,on the website,"seemed wonderful,",so I booked straightaway.,Chrome,1,MAX,in Madrid,on the website,city,website,I was on a website trying to find wonderful apartments to stay at in Madrid and other cities.,2239.2,apartment,on the website,seemed,1899.7,1
29,31,2,36,63,fill,434.09999999999997,433.5,441,422.70000000000005,550.5,I ate,the most expensive,pizza,"in Rome,",so I made some nice memories.,Chrome,1,FILL,in Rome,in Italy,country,city,"I got home yesterday from a lovely two-week stay in Italy. You won't believe it! According to locals,",2049.2,the most expensive,NA,NA,1700.1,1
29,31,2,37,33,exp,366.59999999999997,372.7,267.6,289.2,562.6999999999999,Every,zoo,in Thailand,"looked responsible,",so I booked straightaway.,Chrome,1,MEN,in Thailand,in the vlog,country,vlog,I was watching a vlog for inspiration for responsible zoos to try out in Thailand and other countries.,2166,zoo,in Thailand,looked,1167.1000000000001,1
29,31,2,38,5,exp,177.6,360.3,297.20000000000005,172.4,372.7,Every,market,in the blog,"looked exciting,",so I booked straightaway.,Chrome,1,MAX,in Scotland,in the blog,country,blog,I was reading a blog to get some ideas for exciting markets to explore in Scotland and other countries.,5249.4,market,in the blog,looked,1372.8,1
29,31,2,39,92,fill,467.5,310.90000000000003,166.7,349,334.2,I bathed in,the cleanest,sea,"in France,",so I really enjoyed it.,Chrome,1,FILL,in France,in Nice,city,country,"I've just returned from a week-long trip in Nice. I was really shocked. According to my friends,",3049.7999999999997,the cleanest,NA,NA,1417.3,1
29,31,2,40,106,fill,192.8,187.9,216.70000000000002,244.10000000000002,401,I did,the most difficult,trek,"in Brazil,",so it was a lovely time.,Chrome,1,FILL,in Brazil,in Rio de Janeiro,city,country,"I'm just back from a well-earned break in Rio de Janeiro. I'm really pleased! Apparently,",2637.7999999999997,the most difficult,NA,NA,1305.8000000000002,1
29,31,2,41,25,exp,366.70000000000005,299.8,284.1,NA,477.2,Every,river,"looked soothing,",NA,so I didn't know what to do.,Chrome,1,NIL,in Norway,in the blog,country,blog,I was reading a blog to get some ideas for soothing rivers to explore in Norway and other countries.,2366.4,river,NIL,looked,1549.9,1
29,31,2,42,71,fill,417.9,348.9,217.29999999999998,167.9,395.1,I was staying in,the most modern,appartment block,"in Shanghai,",so it was a lovely time.,Chrome,1,FILL,in Shanghai,in China,country,city,"I've just returned from a well-earned break in China. I was really shocked. According to locals,",2565.7000000000003,the most modern,NA,NA,1650,1
29,31,2,43,3,exp,383.90000000000003,129.6,147.60000000000002,302.3,483.3,Every,restaurant,in Italy,"looked fancy,",so I booked straightaway.,Chrome,1,MEN,in Italy,in the vlog,country,vlog,I was watching a vlog for inspiration for fancy restaurants to try out in Italy and other countries.,2319.7000000000003,restaurant,in Italy,looked,1244.5,1
29,31,2,44,119,fill,350.3,177.7,346.1,242.9,465.2,I got to enjoy,the most remote,hot spring,"in Hungary,",so it was a lovely time.,Chrome,1,FILL,in Hungary,in Debrecen,city,country,"I've just returned from a great holiday in Debrecen. I was really shocked. According to locals,",2400,the most remote,NA,NA,1339.6,1
29,31,2,45,74,fill,384,320.6,238.4,267.40000000000003,241.2,I tasted,the most unique,beer,"in Melbourne,",so it was a lovely time.,Chrome,1,FILL,in Melbourne,in Australia,country,city,"I've just returned from a great holiday in Australia. I was really shocked. Apparently,",2190.7000000000003,the most unique,NA,NA,1250.8,1
29,31,2,46,17,exp,316.59999999999997,192.39999999999998,184.79999999999998,367,733.3,Every,guesthouse,on the website,"looked old-fashioned,",so I had some deciding to do.,Chrome,1,MAX,in France,on the website,country,website,I was on a website trying to find old-fashioned guesthouses to stay at in France and other countries.,4733.2,guesthouse,on the website,looked,1739.6000000000001,1
29,31,2,47,101,fill,561,424.8,333.3,288.7,649.9,I took a boat trip on,the deepest,lake,"in China,",so I made some nice memories.,Chrome,1,FILL,in China,in Beijing,city,country,"I've just returned from a well-earned break in Beijing. I was really shocked. Allegedly,",2261.8999999999996,the deepest,NA,NA,2023.1,1
29,31,2,48,111,fill,300.70000000000005,165.5,392,272.1,349,I got to experience,the most vibrant,nightlife,"in Thailand,",so I made some nice memories.,Chrome,1,FILL,in Thailand,in Phuket,city,country,"I got home yesterday from a well-earned break in Phuket. You won't believe it! According to locals,",1862.4,the most vibrant,NA,NA,2213.2999999999997,1
29,31,2,49,76,fill,554.1,267.29999999999995,267.29999999999995,233.4,499.5,I visited,the smallest,coffee shop,"in São Paulo,",so I really enjoyed it.,Chrome,1,FILL,in São Paulo,in Brazil,country,city,"I'm just back from a well-earned break in Brazil. I'm really pleased! According to my friends,",2600,the smallest,NA,NA,1600.7,1
29,31,2,50,81,fill,217.6,278.8,172.8,334.1,483.3,I visited,the most ancient,temple,"in Bangkok,",so it was a lovely time.,Chrome,1,FILL,in Bangkok,in Thailand,country,city,"I got home yesterday from a well-earned break in Thailand. You won't believe it! Allegedly,",1659.7,the most ancient,NA,NA,1779.7,1
29,31,2,51,67,fill,603.1999999999999,282.4,250.1,434,616.7,I saw,the best views,views,"in Vienna,",so I really enjoyed it.,Chrome,1,FILL,in Vienna,in Austria,country,city,"I'm just back from a week-long trip in Austria. I'm really pleased! According to locals,",2378.4,the best views,NA,NA,1694.3999999999999,1
