Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,Condition,RestrictorType,RestrictorPosition,MENRestr,MAXRestr,MENRestrType,MAXRestrType,Context,ContextRT,LOOK_SEEM,CompRT,has_comp
30,NA,1,64,fill,684.1,505.70000000000005,600.9,451.1,2401.2,I stayed at,the most luxurious,hotel,"in Berlin,",so I really enjoyed it.,1,FILL,FILL,FILL,in Berlin,in Germany,country,city,"I'm just back from a great holiday in Germany. I'm really pleased! According to my friends,",3392.5,NA,1117.5,1
30,NA,2,1,exp,801.2,353.5,394.6,655.5,807.1,Every,beach,looked beautiful,"in Spain,",so I booked straightaway.,1,EXT-MEN,MEN,EXT,in Spain,in the brochure,country,brochure,I was flicking through a holiday brochure to find beautiful beaches to visit in Spain and other countries.,3685.8,looked,1942.6000000000001,1
30,NA,3,71,fill,389.79999999999995,353.4,301,318.40000000000003,477.2,I was staying in,the most modern,appartment block,"in Shanghai,",so it was a lovely time.,1,FILL,FILL,FILL,in Shanghai,in China,country,city,"I've just returned from a well-earned break in China. I was really shocked. According to locals,",9299.099999999999,NA,1036.5,1
30,NA,4,19,exp,842.5,317.59999999999997,329.79999999999995,403.1,527.9000000000001,Every,hike,in China,"looked scenic,",so I knew just where to go.,0,INT-MEN,MEN,INT,in China,on the app,country,app,I was on a travel app researching scenic hikes to enjoy in China and other countries.,3556.9,looked,NA,NQ
30,NA,5,106,fill,688.6999999999999,503.8,424.9,401.3,984.4000000000001,I did,the most difficult,trek,"in Brazil,",so it was a lovely time.,0,FILL,FILL,FILL,in Brazil,in Rio de Janeiro,city,country,"I'm just back from a well-earned break in Rio de Janeiro. I'm really pleased! Apparently,",3103.9,NA,NA,NQ
30,NA,6,35,exp,694.2,383.90000000000003,400.9,409.4,368.09999999999997,Every,palace,in Sweden,"looked opulent,",so I booked straightaway.,0,INT-MEN,MEN,INT,in Sweden,in the blog,country,blog,I was reading a blog to get some ideas for opulent palaces to explore in Sweden and other countries.,4398.7,looked,NA,NQ
30,NA,7,44,exp,368.9,362.4,701.0999999999999,458.5,560.5,Every,sight,seemed picture-perfect,"on the app,",so I had some deciding to do.,0,EXT-MAX,MAX,EXT,in Cairo,on the app,city,app,I was on a travel app researching picture-perfect sights to enjoy in Cairo and other cities.,3641.9,seemed,NA,NQ
30,NA,8,113,fill,400.8,342,334.4,338.1,400.7,I got to explore,the most convoluted,caves,"in Spain,",so it was a lovely time.,0,FILL,FILL,FILL,in Spain,in Tenerife,city,country,"I've just returned from a lovely two-week stay in Tenerife. I was really shocked. Allegedly,",5521.8,NA,NA,NQ
30,NA,9,26,exp,617.4,611.7,522.5,555.1,1417.8999999999999,Every,bar,in the brochure,"seemed lively,",so I didn't know what to do.,0,INT-MAX,MAX,INT,in Prague,in the brochure,city,brochure,I was flicking through a holiday brochure to find lively bars to visit in Prague and other cities.,3127.2000000000003,seemed,NA,NQ
30,NA,10,78,fill,335.9,308.5,309.09999999999997,344.1,362.4,I drank from,the most well-known,fountain,"in Bern,",so it was a lovely time.,0,FILL,FILL,FILL,in Bern,in Switzerland,country,city,"I got home yesterday from a lovely two-week stay in Switzerland. You won't believe it! Apparently,",3383,NA,NA,NQ
30,NA,11,98,fill,884.1999999999999,310.40000000000003,312.59999999999997,468,853.9,I was staying near,the oldest,university,"in The Netherlands,",so I made some nice memories.,0,FILL,FILL,FILL,in The Netherlands,in Utrecht,city,country,"I've just returned from a lovely two-week stay in Utrecht. I was really shocked. Apparently,",1650,NA,NA,NQ
30,NA,12,66,fill,401.4,501.4,442.59999999999997,419.59999999999997,550.6,I got to see,the greenest,park,"in Brussels,",so I made some nice memories.,0,FILL,FILL,FILL,in Brussels,in Belgium,country,city,"I got home yesterday from a well-earned break in Belgium. You won't believe it! Apparently,",4655.4000000000005,NA,NA,NQ
30,NA,13,14,exp,556.9,417.4,378,484.3,469.4,Every,tour,on the app,"seemed relaxing,",so I had some deciding to do.,1,INT-MAX,MAX,INT,in Budapest,on the app,city,app,I was on a travel app researching relaxing tours to enjoy in Budapest and other cities.,3877.3,seemed,2205.8,1
30,NA,14,69,fill,472.5,551.6999999999999,378.3,501.09999999999997,442.7,I was able to take photos of,the rarest,bird,"in Aberdeen,",so I made some nice memories.,0,FILL,FILL,FILL,in Aberdeen,in Scotland,country,city,"I got home yesterday from a great holiday in Scotland. You won't believe it! Allegedly,",4608.4,NA,NA,NQ
30,NA,15,24,exp,393.8,342.6,427.09999999999997,143,238.1,Every,getaway,seemed romantic,"on the app,",so I knew just where to go.,0,EXT-MAX,MAX,EXT,in Amsterdam,on the app,city,app,I was on a travel app researching romantic getaways to enjoy in Amsterdam and other cities.,2616.8999999999996,seemed,NA,NQ
30,NA,16,95,fill,355.9,322.5,307.09999999999997,334.8,1783.6000000000001,I went to,the very first,pub,"in England,",so I made some nice memories.,0,FILL,FILL,FILL,in England,in Lancaster,city,country,"I've just returned from a short vacation in Lancaster. I was really shocked. According to locals,",7000.0999999999995,NA,NA,NQ
30,NA,17,9,exp,377.59999999999997,358.59999999999997,351.3,408.6,500.90000000000003,Every,view,looked breathtaking,"in Japan,",so there was plenty of choice.,0,EXT-MEN,MEN,EXT,in Japan,on the app,country,app,I was on a travel app researching breathtaking views to enjoy in Japan and other countries.,2825.5,looked,NA,NQ
30,NA,18,88,fill,351.6,285.6,317.90000000000003,394.1,633.8000000000001,I got to stay in,the least well-known,area,"in Swansea,",so I made some nice memories.,0,FILL,FILL,FILL,in Swansea,in Wales,country,city,"I'm just back from a lovely two-week stay in Wales. I'm really pleased! According to my friends,",4559.8,NA,NA,NQ
30,NA,19,51,exp,325.29999999999995,356.3,377.2,367.4,625.4,Every,brewery,in Canada,"looked exclusive,",so I knew just where to go.,0,INT-MEN,MEN,INT,in Canada,in the brochure,country,brochure,I was flicking through a holiday brochure to find exclusive breweries to visit in Canada and other countries.,2116.8999999999996,looked,NA,NQ
30,NA,20,82,fill,574.1,486.5,425.3,441.59999999999997,517.5,I swam in,the largest,swimming pool,"in Tokyo,",so I made some nice memories.,1,FILL,FILL,FILL,in Tokyo,in Japan,country,city,"I'm just back from a week-long trip in Japan. I'm really pleased! Apparently,",16797.3,NA,2417,1
30,NA,21,90,fill,585.2,501.6,477.7,500.8,489.20000000000005,I ate,the nicest,cheese,"in Johannesburgh,",so it was a lovely time.,0,FILL,FILL,FILL,in Johannesburgh,in South Africa,country,city,"I got home yesterday from a short vacation in South Africa. You won't believe it! Apparently,",3276.7,NA,NA,NQ
30,NA,22,33,exp,1972.5,667.5,562.3000000000001,556.4,1152.9,Every,zoo,looked responsible,"in Thailand,",so I booked straightaway.,0,EXT-MEN,MEN,EXT,in Thailand,in the vlog,country,vlog,I was watching a vlog for inspiration for responsible zoos to try out in Thailand and other countries.,7324.6,looked,NA,NQ
30,NA,23,108,fill,757.9,437.59999999999997,455.40000000000003,503.29999999999995,476,I ordered,the most alcoholic,cocktail,"in Switzerland,",so I really enjoyed it.,0,FILL,FILL,FILL,in Switzerland,in Zürich,city,country,"I got home yesterday from a lovely two-week stay in Zürich. You won't believe it! According to my friends,",5149.6,NA,NA,NQ
30,NA,24,16,exp,418.3,352.4,394,467.4,510.29999999999995,Every,gallery,seemed high-end,"in the brochure,",so I had some deciding to do.,1,EXT-MAX,MAX,EXT,in Venice,in the brochure,city,brochure,I was flicking through a holiday brochure to find high-end galleries to visit in Venice and other cities.,5954.2,seemed,3735.5,1
30,NA,25,55,exp,488.09999999999997,400.7,385.7,410,634.4,Every,forest,in Austria,"looked sprawling,",so I didn't know what to do.,1,INT-MEN,MEN,INT,in Austria,in the blog,country,blog,I was reading a blog to get some ideas for sprawling forests to explore in Austria and other countries.,3884.3,looked,2171.2,1
30,NA,26,79,fill,337.4,340.4,302.8,303,725.7,I tried,the best,ice-cream,"in Athens,",so I made some nice memories.,1,FILL,FILL,FILL,in Athens,in Greece,country,city,"I'm just back from a great holiday in Greece. I'm really pleased! According to locals,",12770.300000000001,NA,1544.2,1
30,NA,27,104,fill,269.5,222.20000000000002,234.9,304.59999999999997,584.9,I got a room at,the fanciest,boutique hotel,"in Australia,",so I made some nice memories.,1,FILL,FILL,FILL,in Australia,in Perth,city,country,"I've just returned from a great holiday in Perth. I was really shocked. According to my friends,",3216.8,NA,1455.4,1
30,NA,28,117,fill,572,268,292.8,334.4,569,I went to a gig by,the most famous,band,"in Ireland,",so I made some nice memories.,0,FILL,FILL,FILL,in Ireland,in Galway,city,country,"I got home yesterday from a week-long trip in Galway. You won't believe it! Allegedly,",2822.8,NA,NA,NQ
30,NA,29,105,fill,567.2,537.4,510,552.4,472.1,I went down,the fastest,waterslide,"in Sweden,",so I really enjoyed it.,1,FILL,FILL,FILL,in Sweden,in Gothenburg,city,country,"I got home yesterday from a short vacation in Gothenburg. You won't believe it! Allegedly,",4000.4,NA,1522.3,1
30,NA,30,39,exp,635.9,221.4,284.7,734.5,772.2,Every,lake,in Australia,"looked pristine,",so there was plenty of choice.,0,INT-MEN,MEN,INT,in Australia,on the app,country,app,I was on a travel app researching pristine lakes to enjoy in Australia and other countries.,3667.1,looked,NA,NQ
30,NA,31,70,fill,393.8,344.9,434.09999999999997,390.79999999999995,426.4,I ate at,the poshest,restaurant,"in Helsinki,",so I really enjoyed it.,0,FILL,FILL,FILL,in Helsinki,in Finland,country,city,"I'm just back from a short vacation in Finland. I'm really pleased! Apparently,",2532.6,NA,NA,NQ
30,NA,32,40,exp,401.1,401,388.29999999999995,407.1,518.1,Every,garden,seemed colourful,"in the blog,",so there was plenty of choice.,0,EXT-MAX,MAX,EXT,in Zagreb,in the blog,city,blog,I was reading a blog to get some ideas for colourful gardens to explore in Zagreb and other cities.,5866.6,seemed,NA,NQ
30,NA,33,94,fill,450.7,721.5,518,553.6,517.1,I paraglided over,the most beautiful,spot,"in Germany,",so it was a lovely time.,1,FILL,FILL,FILL,in Germany,in Frankfurt,city,country,"I'm just back from a great holiday in Frankfurt. I'm really pleased! Apparently,",2866.2000000000003,NA,2933.7,1
30,NA,34,5,exp,667.4,567.9,543,578.0999999999999,667.8,Every,market,looked exciting,"in Scotland,",so I booked straightaway.,0,EXT-MEN,MEN,EXT,in Scotland,in the blog,country,blog,I was reading a blog to get some ideas for exciting markets to explore in Scotland and other countries.,4386.5999999999995,looked,NA,NQ
30,NA,35,11,exp,333.2,307.7,343.1,653.5,483.5,Every,village,in Slovenia,"looked quaint,",so there was plenty of choice.,0,INT-MEN,MEN,INT,in Slovenia,in the brochure,country,brochure,I was flicking through a holiday brochure to find quaint vilages to visit in Slovenia and other countries.,3820.6000000000004,looked,2951,1
30,NA,36,29,exp,373.2,303.9,467.7,342.8,469.5,Every,shop,looked trendy,"in Hungary,",so I didn't know what to do.,0,EXT-MEN,MEN,EXT,in Hungary,on the app,country,app,I was on a travel app researching trendy shops to enjoy in Hungary and other countries.,7723.4,looked,NA,NQ
30,NA,37,119,fill,367.09999999999997,273.6,287,353.6,468,I got to enjoy,the most remote,hot spring,"in Hungary,",so it was a lovely time.,0,FILL,FILL,FILL,in Hungary,in Debrecen,city,country,"I've just returned from a great holiday in Debrecen. I was really shocked. According to locals,",3800.2,NA,NA,NQ
