Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,Condition,RestrictorType,RestrictorPosition,Context,ContextRT,LOOK_SEEM,Adj,CompRT,has_comp
37,35,1,3,exp,368,217,208,182,238,Every,restaurant,in Scotland,"looked fancy,",so there was plenty of choice.,0,INT-NEM,NEM,INT,I was watching a vlog for inspiration for fancy restaurants to try out in Italy and other countries.,646187,looked,fancy,NA,NQ
37,35,2,43,exp,177,147,199,161,291,Every,delicacy,in Mexico,"looked tasty,",so there was plenty of choice.,0,INT-NEM,NEM,INT,I was flicking through a holiday brochure to find tasty delicacies to try out in Venezuela and other countries.,5135,looked,tasty,NA,NQ
37,35,3,85,fill,200,168,170,276,181,I went up,the newest,skyscraper,"in Istanbul,",so I made some nice memories.,0,FILL,FILL,FILL,"I'm just back from a short vacation in Turkey. I'm really pleased! Allegedly,",2508,NA,NA,NA,NQ
37,35,4,57,exp,179,159,197,135,520,Every,farm,looked eco-friendly,"in Thailand,",so I booked straightaway.,0,EXT-NEM,NEM,EXT,I was watching a vlog for inspiration for eco-friendly farms to stay at in Greece and other countries.,4767,looked,eco-friendly,NA,NQ
37,35,5,83,fill,212,166,212,185,648,I rode,the biggest,rollercoaster,"in Malaga,",so I really enjoyed it.,1,FILL,FILL,FILL,"I've just returned from a lovely two-week stay in Spain. I was really shocked. According to locals,",6344,NA,NA,2305,1
37,35,6,71,fill,214,196,187,550,226,I was staying in,the most modern,appartment block,"in Shanghai,",so it was a lovely time.,1,FILL,FILL,FILL,"I've just returned from a well-earned break in China. I was really shocked. According to locals,",17923,NA,NA,1809,1
37,35,7,88,fill,186,141,209,164,190,I got to stay in,the least well-known,area,"in Swansea,",so I made some nice memories.,0,FILL,FILL,FILL,"I'm just back from a lovely two-week stay in Wales. I'm really pleased! According to my friends,",3344,NA,NA,NA,NQ
37,35,8,116,fill,240,319,255,383,694,I was lucky enough to try,the finest,wine,"in Portugal,",so I'm glad I went.,0,FILL,FILL,FILL,"I've just returned from a well-earned break in Madeira. I was really shocked. According to my friends,",1165519,NA,NA,NA,NQ
37,35,9,26,exp,246,289,190,138,321,Every,bar,in Prague,"seemed lively,",so I decided to go there.,0,INT-EM,EM,INT,I was on a website trying to find lively bars to visit in Prague and other cities.,2872,seemed,lively,NA,NQ
37,35,10,29,exp,179,172,134,169,226,Every,shop,looked trendy,"in Argentina,",so I had some deciding to do.,0,EXT-NEM,NEM,EXT,I was reading a blog to get some ideas for trendy shops to enjoy in Hungary and other countries.,2588,looked,trendy,NA,NQ
37,35,11,22,exp,179,188,169,152,132,Every,cottage,in Durham,"seemed charming,",so I booked straightaway.,1,INT-EM,EM,INT,I was on a travel app researching charming cottages to stay at in Durham and other cities.,2438,seemed,charming,2361,1
