Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,Condition,RestrictorType,RestrictorPosition,Context,ContextRT,LOOK_SEEM,Adj,CompRT,has_comp,C1.PRED,C2.PRED,C3.PRED,C4.PRED,SPILL.PRED,C1.PRED.LOG,C2.PRED.LOG,C3.PRED.LOG,C4.PRED.LOG,SPILL.PRED.LOG,C1.RT.LOG,C2.RT.LOG,C3.RT.LOG,C4.RT.LOG,SPILL.RT.LOG,C1.RT.RESID,C2.RT.RESID,C3.RT.RESID,C4.RT.RESID,SPILL.RT.RESID,C1.RT.LOG.RESID,C2.RT.LOG.RESID,C3.RT.LOG.RESID,C4.RT.LOG.RESID,SPILL.RT.LOG.RESID,PP.RT,PP.LOG,VP.RT,VP.LOG,PP.PRED,PP.PRED.LOG,VP.PRED,VP.PRED.LOG,PP.RESID,PP.RESID.LOG,VP.RESID,VP.RESID.LOG,SPILL.RESID,SPILL.RESID.LOG
37,35,1,3,exp,368,217,208,182,238,Every,restaurant,in Scotland,"looked fancy,",so there was plenty of choice.,0,INT-OTH,OTH,INT,I was watching a vlog for inspiration for fancy restaurants to try out in Italy and other countries.,646187,looked,fancy,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,306.9473152986984,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.3450635126324935,5.908082938168931,5.37989735354046,5.337538079701318,5.204006687076795,5.472270673671475,39.061942822010906,-92.37238446562105,-17.17796393073033,-74.41541141510373,-68.94731529869841,0.519178204002972,0.10908464692088682,0.21411363485604795,0.03992310909991126,0.12720716103898155,208,5.337538079701318,182,5.204006687076795,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,-17.17796393073033,0.21411363485604795,-74.41541141510373,0.03992310909991126,-68.94731529869841,0.12720716103898155
37,35,2,43,exp,177,147,199,161,291,Every,delicacy,in Mexico,"looked tasty,",so there was plenty of choice.,0,INT-OTH,OTH,INT,I was flicking through a holiday brochure to find tasty delicacies to try out in Venezuela and other countries.,5135,looked,tasty,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,306.9473152986984,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.3450635126324935,5.176149732573829,4.990432586778736,5.293304824724492,5.081404364984463,5.673323267171493,-151.9380571779891,-162.37238446562105,-26.17796393073033,-95.41541141510373,-15.947315298698413,-0.21275500159213045,-0.2803801198408369,0.16988037987922233,-0.08267921299242076,0.32825975453899936,199,5.293304824724492,161,5.081404364984463,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,-26.17796393073033,0.16988037987922233,-95.41541141510373,-0.08267921299242076,-15.947315298698413,0.32825975453899936
37,35,4,57,exp,179,159,197,135,520,Every,farm,looked eco-friendly,"in Thailand,",so I booked straightaway.,0,EXT-OTH,OTH,EXT,I was watching a vlog for inspiration for eco-friendly farms to stay at in Greece and other countries.,4767,looked,eco-friendly,NA,NQ,328.9380571779891,309.37238446562105,184.94679270417026,256.41541141510373,387.40965775181854,5.388904734165959,5.270812706619573,5.057461385441966,5.164083577976884,5.476989631439101,5.187385805840755,5.0689042022202315,5.2832037287379885,4.90527477843843,6.253828811575473,-149.9380571779891,-150.37238446562105,12.053207295829736,-121.41541141510373,132.59034224818146,-0.20151892832520435,-0.20190850439934138,0.22574234329602216,-0.25880879953845426,0.7768391801363723,135,4.90527477843843,197,5.2832037287379885,256.41541141510373,5.164083577976884,184.94679270417026,5.057461385441966,-121.41541141510373,-0.25880879953845426,12.053207295829736,0.22574234329602216,132.59034224818146,0.7768391801363723
37,35,9,26,exp,246,289,190,138,321,Every,bar,in Prague,"seemed lively,",so I decided to go there.,0,INT-SUB,SUB,INT,I was on a website trying to find lively bars to visit in Prague and other cities.,2872,seemed,lively,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,306.9473152986984,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.3450635126324935,5.5053315359323625,5.666426688112432,5.247024072160486,4.927253685157205,5.771441123130016,-82.9380571779891,-20.372384465621053,-35.17796393073033,-118.41541141510373,14.052684701301587,0.11642680176640319,0.3956139814928594,0.12359962731521623,-0.2368298928196788,0.4263776104975223,190,5.247024072160486,138,4.927253685157205,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,-35.17796393073033,0.12359962731521623,-118.41541141510373,-0.2368298928196788,14.052684701301587,0.4263776104975223
37,35,10,29,exp,179,172,134,169,226,Every,shop,looked trendy,"in Argentina,",so I had some deciding to do.,0,EXT-OTH,OTH,EXT,I was reading a blog to get some ideas for trendy shops to enjoy in Hungary and other countries.,2588,looked,trendy,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,266.7161440721384,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.279100453229191,5.187385805840755,5.147494476813453,4.897839799950911,5.1298987149230735,5.420534999272286,-149.9380571779891,-137.37238446562105,-91.17796393073033,-87.41541141510373,-40.71614407213838,-0.20151892832520435,-0.12331822980612017,-0.2255846448943588,-0.03418486305381041,0.14143454604309547,169,5.1298987149230735,134,4.897839799950911,256.41541141510373,5.164083577976884,225.17796393073033,5.12342444484527,-87.41541141510373,-0.03418486305381041,-91.17796393073033,-0.2255846448943588,-40.71614407213838,0.14143454604309547
37,35,11,22,exp,179,188,169,152,132,Every,cottage,in Durham,"seemed charming,",so I booked straightaway.,1,INT-SUB,SUB,INT,I was on a travel app researching charming cottages to stay at in Durham and other cities.,2438,seemed,charming,2361,1,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,387.40965775181854,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.476989631439101,5.187385805840755,5.236441962829949,5.1298987149230735,5.0238805208462765,4.882801922586371,-149.9380571779891,-121.37238446562105,-56.17796393073033,-104.41541141510373,-255.40965775181854,-0.20151892832520435,-0.03437074378962368,0.006474270077803546,-0.14020305713060743,-0.5941877088527301,169,5.1298987149230735,152,5.0238805208462765,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,-56.17796393073033,0.006474270077803546,-104.41541141510373,-0.14020305713060743,-255.40965775181854,-0.5941877088527301
37,35,12,7,exp,187,173,164,236,237,Every,museum,in Japan,"looked cool,",so I booked straightaway.,0,INT-OTH,OTH,INT,I was flicking through a holiday brochure to find cool museums to visit in Portugal and other countries.,3803,looked,cool,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,387.40965775181854,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.476989631439101,5.231108616854587,5.153291594497779,5.099866427824199,5.4638318050256105,5.4680601411351315,-141.9380571779891,-136.37238446562105,-61.17796393073033,-20.415411415103733,-150.40965775181854,-0.15779611731137244,-0.11752111212179361,-0.023558017021071187,0.2997482270487266,-0.008929490303969168,164,5.099866427824199,236,5.4638318050256105,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,-61.17796393073033,-0.023558017021071187,-20.415411415103733,0.2997482270487266,-150.40965775181854,-0.008929490303969168
37,35,14,37,exp,202,185,147,188,205,Every,villa,looked stunning,"in Australia,",so I booked straightaway.,0,EXT-OTH,OTH,EXT,I was flicking through a holiday brochure to find stunning villas to stay at in Egypt and other countries.,3057,looked,stunning,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,387.40965775181854,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.476989631439101,5.308267697401205,5.220355825078324,4.990432586778736,5.236441962829949,5.3230099791384085,-126.9380571779891,-124.37238446562105,-78.17796393073033,-68.41541141510373,-182.40965775181854,-0.0806370367647542,-0.0504568815412485,-0.1329918580665339,0.07235838485306534,-0.15397965230069222,188,5.236441962829949,147,4.990432586778736,256.41541141510373,5.164083577976884,225.17796393073033,5.12342444484527,-68.41541141510373,0.07235838485306534,-78.17796393073033,-0.1329918580665339,-182.40965775181854,-0.15397965230069222
37,35,15,23,exp,239,273,156,224,143,Every,cruise,in Norway,"looked idyllic,",so there was plenty of choice.,0,INT-OTH,OTH,INT,I was reading a blog to get some ideas for idyllic cruises to try out in Finland and other countries.,3086,looked,idyllic,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,306.9473152986984,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.3450635126324935,5.476463551931511,5.60947179518496,5.049856007249537,5.4116460518550396,4.962844630259907,-89.9380571779891,-36.37238446562105,-69.17796393073033,-32.41541141510373,-163.9473152986984,0.08755881776555174,0.33865908856538685,-0.07356843759573284,0.24756247387815566,-0.3822188823725865,156,5.049856007249537,224,5.4116460518550396,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,-69.17796393073033,-0.07356843759573284,-32.41541141510373,0.24756247387815566,-163.9473152986984,-0.3822188823725865
37,35,17,56,exp,184,138,220,260,201,Every,statue,seemed famous,"in New York,",so I decided to go there.,0,EXT-SUB,SUB,EXT,I was on a website trying to find famous statues to visit in New York and other cities.,2126,seemed,famous,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,216.18424018854367,306.9473152986984,5.388904734165959,5.270812706619573,5.12342444484527,5.09812051857358,5.3450635126324935,5.214935757608986,4.927253685157205,5.393627546352362,5.560681631015528,5.303304908059076,-144.9380571779891,-171.37238446562105,-5.1779639307303285,43.81575981145633,-105.94731529869841,-0.1739689765569734,-0.34355902146236783,0.27020310150709204,0.4625611124419473,-0.041758604573417735,260,5.560681631015528,220,5.393627546352362,216.18424018854367,5.09812051857358,225.17796393073033,5.12342444484527,43.81575981145633,0.4625611124419473,-5.1779639307303285,0.27020310150709204,-105.94731529869841,-0.041758604573417735
