Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,ExceptiveType,MAXRestrType,MAXRestr,MENRestrType,MENRestr,Context,ContextRT,LOOK_SEEM,Condition,ExceptivePosition,EXCEPTIVE,CompRT,has_comp
60,32,1,17,exp,665.400001,399.90000100000003,533.900001,884.2000009999999,936.5,Every,guesthouse,looked old-fashioned,"except those in France,",so I needed to do more research.,1,MEN,website,on the website,country,in France,I was on a website trying to find old-fashioned guesthouses to stay at in France and other countries.,88348.5,looked,PST-MEN,PST,except those in France,2526.599999,1
60,32,2,15,exp,480.79999899999996,334.9,431.90000000000003,584.5,999.8000000000001,Every,town,looked pretty,"except those in the blog,",so I had some deciding to do.,1,MAX,blog,in the blog,country,in Peru,I was reading a blog to get some ideas for pretty towns to explore in Peru and other countries.,22361.2,looked,PST-MAX,PST,except those in the blog,2278.6,1
60,32,3,47,exp,886.700001,816,568.3000000000001,666.4,630.5,Every,chalet,looked pleasant,"except those on the website,",so I didn't know what to do.,1,MAX,website,on the website,country,in Denmark,I was on a website trying to find pleasant chalets to stay at in Denmark and other countries.,183683.4,looked,PST-MAX,PST,except those on the website,2158.400001,1
60,32,4,35,exp,405,334.6,537.4,738.1999999999999,886.099999,Every,palace,looked opulent,"except those in the blog,",so I needed to do more research.,1,MAX,blog,in the blog,country,in Sweden,I was reading a blog to get some ideas for opulent palaces to explore in Sweden and other countries.,7131,looked,PST-MAX,PST,except those in the blog,2865.2000009999997,1
60,32,5,18,exp,418.1,326,657.5,533.2999990000001,798.8,Every,café,except those in the vlog,"seemed cute,",so I had some deciding to do.,1,MAX,vlog,in the vlog,city,in Glasgow,I was watching a vlog for inspiration for cute cafés to try out in Glasgow and other cities.,3163.400001,seemed,PRE-MAX,PRE,except those in the vlog,2567.8999999999996,1
60,32,6,36,exp,365.599999,335,566.6999999999999,550.400001,766.5,Every,place,except those in Los Angeles,"seemed awesome,",so I had some deciding to do.,1,MEN,brochure,in the brochure,city,in Los Angeles,I was flicking through a holiday brochure to find awesome places to visit in Los Angeles and other cities.,5200.299999,seemed,PRE-MEN,PRE,except those in Los Angeles,4413.700000999999,1
60,32,7,85,fill,630.5,649.5999999999999,520.9,433.59999999999997,719.099999,I went up,the newest,skyscraper,"in Istanbul,",so I made some nice memories.,1,FILL,city,in Turkey,country,in Istanbul,"I'm just back from a short vacation in Turkey. I'm really pleased! Allegedly,",2507.299999,NA,FILL,FILL,FILL,2277.8999999999996,1
60,32,8,77,fill,533.5,368.400001,352.4,479.6,502.09999999999997,I sunbathed,the longest,beach,"in Mumbai,",so I'm glad I went.,1,FILL,city,in India,country,in Mumbai,"I've just returned from a week-long trip in India. I was really shocked. Allegedly,",2413.900001,NA,FILL,FILL,FILL,2066,1
60,32,9,110,fill,652.5,449.5,316,350.2,600.900001,I got to see,the most romantic,sunsets,"in Colombia,",so it was a lovely time.,0,FILL,country,in Cartagena,city,in Colombia,"I've just returned from a short vacation in Cartagena. I was really shocked. Apparently,",3255,NA,FILL,FILL,FILL,2884.3999999999996,1
60,32,10,34,exp,497.7,349.79999899999996,483.70000000000005,687.799999,568.2,Every,excursion,except those on the app,"seemed action-packed,",so I didn't know what to do.,1,MAX,app,on the app,city,in Bucharest,I was on a travel app researching action-packed excursions to enjoy in Bucharest and other cities.,9052.4,seemed,PRE-MAX,PRE,except those on the app,3111.8,1
60,32,11,54,exp,418.5,318.599999,518.2,519,752.7,Every,walk,except those on the app,"seemed easy,",so I had some deciding to do.,1,MAX,app,on the app,city,in Barcelona,I was on a travel app researching easy walks to enjoy in Barcelona and other cities.,20672.2,seemed,PRE-MAX,PRE,except those on the app,1748.299999,1
60,32,12,33,exp,838.8,335.4,385.90000000000003,579,672.2999990000001,Every,zoo,looked responsible,"except those in Thailand,",so I had some deciding to do.,1,MEN,vlog,in the vlog,country,in Thailand,I was watching a vlog for inspiration for responsible zoos to try out in Thailand and other countries.,14270,looked,PST-MEN,PST,except those in Thailand,2062.3,1
60,32,13,62,fill,502.8,364.3,363.09999999999997,510.6000000000001,622.1999999999999,I experienced,the hottest,day on record,"in Bordeaux,",so it was a lovely time.,1,FILL,city,in France,country,in Bordeaux,"I've just returned from a week-long trip in France. I was really shocked. Apparently,",3911.5,NA,FILL,FILL,FILL,1812.3,1
60,32,14,92,fill,503.6,367.400001,361.5,401.3,470.7,I bathed in,the cleanest,sea,"in France,",so I really enjoyed it.,1,FILL,country,in Nice,city,in France,"I've just returned from a week-long trip in Nice. I was really shocked. According to my friends,",3565.3,NA,FILL,FILL,FILL,1387.599999,1
60,32,15,88,fill,547.3,401.5,435.3,465.8,535.8000000000001,I got to stay in,the least well-known,area,"in Swansea,",so I made some nice memories.,1,FILL,city,in Wales,country,in Swansea,"I'm just back from a lovely two-week stay in Wales. I'm really pleased! According to my friends,",2821.7,NA,FILL,FILL,FILL,1905.900001,1
60,32,16,103,fill,500.900001,434.40000000000003,549.2,670.8,638.5999999999999,I bought,the most fashionable,jacket,"in Russia,",so it was a lovely time.,1,FILL,country,in St. Petersburg,city,in Russia,"I'm just back from a lovely two-week stay in St. Petersburg. I'm really pleased! According to locals,",3639.3,NA,FILL,FILL,FILL,2038.5,1
60,32,17,39,exp,403.90000100000003,331.900001,383.5,569.400001,596.7,Every,lake,looked pristine,"except those on the app,",so I didn't know what to do.,1,MAX,app,on the app,country,in Australia,I was on a travel app researching pristine lakes to enjoy in Australia and other countries.,6663.700000000001,looked,PST-MAX,PST,except those on the app,2423.6,1
60,32,18,106,fill,501,363.09999999999997,387.29999999999995,547.2,484.5,I did,the most difficult,trek,"in Brazil,",so it was a lovely time.,1,FILL,country,in Rio de Janeiro,city,in Brazil,"I'm just back from a well-earned break in Rio de Janeiro. I'm really pleased! Apparently,",3605.400001,NA,FILL,FILL,FILL,1851.5,1
60,32,19,22,exp,714.6,466.2,654.5999999999999,518.7,599,Every,cottage,except those on the website,"seemed charming,",so I needed to do more research.,1,MAX,website,on the website,city,in Durham,I was on a website trying to find charming cottages to stay at in Durham and other cities.,5011,seemed,PRE-MAX,PRE,except those on the website,3119,1
60,32,20,97,fill,503.900001,447.2,718.4000000000001,850.8,600.3,I visited,the most historical,monument,"in Austria,",so it was a lovely time.,1,FILL,country,in Salzburg,city,in Austria,"I'm just back from a week-long trip in Salzburg. I'm really pleased! Allegedly,",2418.7,NA,FILL,FILL,FILL,1715.099999,1
60,32,21,107,fill,392.900001,368.59999999999997,472.8,535.6999999999999,533.1,I enjoyed,the cheapest,vegan food,"in India,",so I made some nice memories.,1,FILL,country,in Delhi,city,in India,"I've just returned from a week-long trip in Delhi. I was really shocked. According to locals,",2417.9,NA,FILL,FILL,FILL,1762.6,1
60,32,22,108,fill,404.5,472.2,436,552.700001,616.8000000000001,I ordered,the most alcoholic,cocktail,"in Switzerland,",so I really enjoyed it.,1,FILL,country,in Zürich,city,in Switzerland,"I got home yesterday from a lovely two-week stay in Zürich. You won't believe it! According to my friends,",3721,NA,FILL,FILL,FILL,2416.2,1
60,32,23,109,fill,381.799999,337.2,648.8000000000001,502,498.599999,I went on,the most scenic,boat trip,"in Greece,",so I'm glad I went.,1,FILL,country,in Corfu,city,in Greece,"I'm just back from a great holiday in Corfu. I'm really pleased! Allegedly,",1952.1,NA,FILL,FILL,FILL,1821.5,1
60,32,24,7,exp,450.400001,337.799999,283.200001,466.9,644.5,Every,museum,looked cool,"except those on the website,",so I had some deciding to do.,1,MAX,website,on the website,country,in Portugal,I was on a website trying to find cool museums to visit in Portugal and other countries.,4291.2,looked,PST-MAX,PST,except those on the website,1822.2,1
60,32,25,75,fill,452.1,519,616.900001,548.8,669.3,I rented,the priciest,car available,"in Stockholm,",so I made some nice memories.,1,FILL,city,in Sweden,country,in Stockholm,"I got home yesterday from a short vacation in Sweden. You won't believe it! According to locals,",2924.7000000000003,NA,FILL,FILL,FILL,2080.5,1
60,32,26,38,exp,418.8,317.400001,282.1,449.59999899999997,602.4000000000001,Every,pub,except those in the vlog,"seemed cosy,",so I had some deciding to do.,1,MAX,vlog,in the vlog,city,in Perth,I was watching a vlog for inspiration for cosy pubs to try out in Perth and other cities.,6934,seemed,PRE-MAX,PRE,except those in the vlog,2073.5,1
60,32,27,20,exp,386.90000000000003,333,300.20000000000005,468.6,716.9,Every,church,except those in Belfast,"seemed ornate,",so I had some deciding to do.,1,MEN,blog,in the blog,city,in Belfast,I was reading a blog to get some ideas for ornate churches to explore in Belfast and other cities.,3838.599999,seemed,PRE-MEN,PRE,except those in Belfast,2019.0000000000002,1
60,32,28,90,fill,464.4,420.5,430.4,788.1,518.5999999999999,I ate,the nicest,cheese,"in Johannesburgh,",so it was a lovely time.,1,FILL,city,in South Africa,country,in Johannesburgh,"I got home yesterday from a short vacation in South Africa. You won't believe it! Apparently,",2287.3,NA,FILL,FILL,FILL,2550,1
60,32,29,3,exp,565.8,516,335.1,466.59999899999997,499,Every,restaurant,looked fancy,"except those in the vlog,",so I didn't know what to do.,1,MAX,vlog,in the vlog,country,in Italy,I was watching a vlog for inspiration for fancy restaurants to try out in Italy and other countries.,2989,looked,PST-MAX,PST,except those in the vlog,1454.5,1
60,32,30,87,fill,821.4,447,535,384.6,449.90000000000003,I sailed down,the widest,river,"in Dublin,",so it was a lovely time.,1,FILL,city,in Ireland,country,in Dublin,"I got home yesterday from a week-long trip in Ireland. You won't believe it! According to locals,",3375.9,NA,FILL,FILL,FILL,1748.6999999999998,1
60,32,31,117,fill,535.400001,1917.099999,570.9,618.7,680.3000000000001,I went to a gig by,the most famous,band,"in Ireland,",so I made some nice memories.,1,FILL,country,in Galway,city,in Ireland,"I got home yesterday from a week-long trip in Galway. You won't believe it! Allegedly,",2067.6,NA,FILL,FILL,FILL,1373.6,1
