Participant,Age,TrialN,StimID,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,ExceptiveType,Context,ContextRT,LOOK_SEEM,Condition,ExceptivePosition,EXCEPTIVE,CompRT,has_comp,C1.LEN.PRED,C2.LEN.PRED,C3.LEN.PRED,C4.LEN.PRED,SPILL.LEN.PRED,C1.POS.PRED,C2.POS.PRED,C3.POS.PRED,C4.POS.PRED,SPILL.POS.PRED,C3.VP.PRED,C4.VP.PRED,InfoCount,C1.RT.LOG,C2.RT.LOG,C3.RT.LOG,C4.RT.LOG,SPILL.RT.LOG,EXC.RT,EXC.LOG,VP.RT,VP.LOG,EXC.LEN,EXC.POS,VP.PRED,VP.RESID
60,32,1,17,665.400001,399.900001,533.900001,884.2000009999999,936.5,Every,guesthouse,looked old-fashioned,"except those in France,",so I needed to do more research.,1,SUB,I was on a website trying to find old-fashioned guesthouses to stay at in France and other countries.,88348.5,looked,PST-SUB,PST,except those in France,2526.599999,1,419.89343317493945,419.89343317493945,445.241992267853,495.9391104536801,571.9847877324207,486.2533333166664,428.97166665,424.78833334999985,472.17999996666674,530.6199998833333,443.5358969345009,528.9160476566035,1,6.500388365087232,5.991214518353398,6.280208557379151,6.784683282523108,6.842149521884143,884.2000009999999,6.784683282523108,533.900001,6.280208557379151,495.9391104536801,472.17999996666674,443.5358969345009,90.36410406549908
60,32,2,15,480.799999,334.9,431.9,584.5,999.8,Every,town,looked pretty,"except those in the blog,",so I had some deciding to do.,1,MAX,I was reading a blog to get some ideas for pretty towns to explore in Peru and other countries.,22361.2,looked,PST-MAX,PST,except those in the blog,2278.6,1,419.89343317493945,419.89343317493945,445.241992267853,521.2876695465936,571.9847877324207,486.2533333166664,428.97166665,424.78833334999985,472.17999996666674,530.6199998833333,443.5358969345009,558.5174638426575,1,6.175451381141131,5.813831979800159,6.068194079966656,6.3707567809121235,6.90755525897947,584.5,6.3707567809121235,431.9,6.068194079966656,521.2876695465936,472.17999996666674,443.5358969345009,-11.63589693450092
60,32,3,47,886.700001,816,568.3000000000001,666.4,630.5,Every,chalet,looked pleasant,"except those on the website,",so I didn't know what to do.,1,MAX,I was on a website trying to find pleasant chalets to stay at in Denmark and other countries.,183683.4,looked,PST-MAX,PST,except those on the website,2158.400001,1,419.89343317493945,419.89343317493945,445.241992267853,521.2876695465936,571.9847877324207,486.2533333166664,428.97166665,424.78833334999985,472.17999996666674,530.6199998833333,443.5358969345009,558.5174638426575,2,6.787506707513739,6.704414354964107,6.342649448303076,6.5018900908526325,6.446513155404975,666.4,6.5018900908526325,568.3000000000001,6.342649448303076,521.2876695465936,472.17999996666674,443.5358969345009,124.76410306549917
60,32,4,35,405,334.6,537.4,738.1999999999999,886.099999,Every,palace,looked opulent,"except those in the blog,",so I needed to do more research.,1,MAX,I was reading a blog to get some ideas for opulent palaces to explore in Sweden and other countries.,7131,looked,PST-MAX,PST,except those in the blog,2865.2000009999997,1,419.89343317493945,419.89343317493945,445.241992267853,521.2876695465936,571.9847877324207,486.2533333166664,428.97166665,424.78833334999985,472.17999996666674,530.6199998833333,443.5358969345009,558.5174638426575,2,6.003887067106539,5.812935788552724,6.286742696181391,6.604214790595898,6.786829809924716,738.1999999999999,6.604214790595898,537.4,6.286742696181391,521.2876695465936,472.17999996666674,443.5358969345009,93.86410306549908
60,32,5,18,418.1,326,657.5,533.2999990000001,798.8,Every,café,except those in the vlog,"seemed cute,",so I had some deciding to do.,1,MAX,I was watching a vlog for inspiration for cute cafés to try out in Glasgow and other cities.,3163.400001,seemed,PRE-MAX,PRE,except those in the vlog,2567.8999999999996,1,419.89343317493945,419.89343317493945,521.2876695465936,445.241992267853,571.9847877324207,486.2533333166664,428.97166665,424.78833334999985,472.17999996666674,530.6199998833333,532.3401454926628,469.7132152844957,1,6.03572063836252,5.786897381366708,6.48844476405192,6.27908411573144,6.68311060154166,657.5,6.48844476405192,533.2999990000001,6.27908411573144,521.2876695465936,424.78833334999985,469.7132152844957,63.586783715504396
60,32,6,36,365.599999,335,566.6999999999999,550.400001,766.5,Every,place,except those in Los Angeles,"seemed awesome,",so I had some deciding to do.,1,SUB,I was flicking through a holiday brochure to find awesome places to visit in Los Angeles and other cities.,5200.299999,seemed,PRE-SUB,PRE,except those in Los Angeles,4413.700000999999,1,419.89343317493945,419.89343317493945,521.2876695465936,445.241992267853,571.9847877324207,486.2533333166664,428.97166665,424.78833334999985,472.17999996666674,530.6199998833333,532.3401454926628,469.7132152844957,1,5.901539836844766,5.814130531825066,6.339830063175573,6.310645288435994,6.641834698311869,566.6999999999999,6.339830063175573,550.400001,6.310645288435994,521.2876695465936,424.78833334999985,469.7132152844957,80.6867857155043
60,32,10,34,497.7,349.79999899999996,483.7000000000001,687.799999,568.2,Every,excursion,except those on the app,"seemed action-packed,",so I didn't know what to do.,1,MAX,I was on a travel app researching action-packed excursions to enjoy in Bucharest and other cities.,9052.4,seemed,PRE-MAX,PRE,except those on the app,3111.8,1,419.89343317493945,419.89343317493945,521.2876695465936,445.241992267853,571.9847877324207,486.2533333166664,428.97166665,424.78833334999985,472.17999996666674,530.6199998833333,532.3401454926628,469.7132152844957,1,6.209997485864508,5.857361559725725,6.181464879828938,6.533498096544255,6.342473469420088,483.7000000000001,6.181464879828938,687.799999,6.533498096544255,521.2876695465936,424.78833334999985,469.7132152844957,218.08678371550428
60,32,11,54,418.5,318.599999,518.2,519,752.7,Every,walk,except those on the app,"seemed easy,",so I had some deciding to do.,1,MAX,I was on a travel app researching easy walks to enjoy in Barcelona and other cities.,20672.2,seemed,PRE-MAX,PRE,except those on the app,1748.299999,1,419.89343317493945,419.89343317493945,521.2876695465936,445.241992267853,571.9847877324207,486.2533333166664,428.97166665,424.78833334999985,472.17999996666674,530.6199998833333,532.3401454926628,469.7132152844957,2,6.03667688992953,5.763936394337216,6.250361268128009,6.251903883165888,6.623666742040486,518.2,6.250361268128009,519,6.251903883165888,521.2876695465936,424.78833334999985,469.7132152844957,49.286784715504325
60,32,12,33,838.8,335.4,385.9,579,672.2999990000001,Every,zoo,looked responsible,"except those in Thailand,",so I had some deciding to do.,1,SUB,I was watching a vlog for inspiration for responsible zoos to try out in Thailand and other countries.,14270,looked,PST-SUB,PST,except those in Thailand,2062.3,1,419.89343317493945,419.89343317493945,445.241992267853,495.9391104536801,571.9847877324207,486.2533333166664,428.97166665,424.78833334999985,472.17999996666674,530.6199998833333,443.5358969345009,528.9160476566035,2,6.731972299027765,5.815323849389109,5.955578268543573,6.361302477572996,6.51070466798756,579,6.361302477572996,385.9,5.955578268543573,495.9391104536801,472.17999996666674,443.5358969345009,-57.63589693450092
60,32,17,39,403.900001,331.900001,383.5,569.400001,596.7,Every,lake,looked pristine,"except those on the app,",so I didn't know what to do.,1,MAX,I was on a travel app researching pristine lakes to enjoy in Australia and other countries.,6663.700000000001,looked,PST-MAX,PST,except those on the app,2423.6,1,419.89343317493945,419.89343317493945,445.241992267853,521.2876695465936,571.9847877324207,486.2533333166664,428.97166665,424.78833334999985,472.17999996666674,530.6199998833333,443.5358969345009,558.5174638426575,3,6.001167325045228,5.804833721738884,5.949339620807311,6.344583176600172,6.391414474528037,569.400001,6.344583176600172,383.5,5.949339620807311,521.2876695465936,472.17999996666674,443.5358969345009,-60.0358969345009
